277.0 313.0 0.7945546970264221 
271.0 302.0 0.809846610636488 
294.0 330.0 0.7827878858652719 
265.0 298.0 0.8123075099140513 
281.0 316.0 0.7859399529807269 
263.0 296.0 0.8268985502830344 
257.0 292.0 0.864094986922644 
275.0 308.0 0.8052667815660827 
260.0 291.0 0.8604229528068535 
304.0 338.0 0.7823093391575819 
284.0 319.0 0.7850984222025204 
277.0 312.0 0.7966409875018121 
303.0 339.0 0.7823093391575819 
313.0 346.0 0.7819560458330197 
255.0 290.0 0.8640949869226442 
270.0 303.0 0.8054827459444286 
261.0 292.0 0.856787830141803 
291.0 327.0 0.7847184555870216 
261.0 294.0 0.8330043232004016 
260.0 295.0 0.8409631804575042 
279.0 314.0 0.7908465346912573 
290.0 325.0 0.7848218818041163 
