968074 734002 152777 1401892 1277609 78161 75927 1337273 745766 853452 
958897 130963 278537 798641 103461 1083079 51226 1354526 41418 870606 
273662 1279713 1011422 426406 511010 1083079 132398 253758 1370980 1280575 
968074 734230 151257 925563 1253619 1083079 75928 1337273 750476 844059 
984493 996403 15517 433472 760377 170850 679415 517941 844395 221291 
255482 1279713 1023992 943027 1270166 1083079 535595 1363895 1370980 845053 
576655 1222665 536887 1336984 525599 52717 553056 5491 1364448 1279838 
1081717 130383 693027 1350743 774661 617321 478093 516387 79986 1263649 
968074 735921 152777 922596 443209 1084303 80552 1337273 853309 820388 
372466 130383 518374 437721 72827 572077 475983 517941 80356 205165 
372466 130383 518374 439198 72827 572077 475564 517941 1311211 1335690 
984493 996403 15517 433472 760377 170850 679415 517941 844395 221291 
915044 941525 106035 798383 1253698 1083079 75991 1354526 41418 826847 
372466 130383 518374 437721 72827 572077 475983 517941 80356 205165 
372466 130383 518374 437721 72827 572077 475983 517941 80356 205165 
576655 1222665 536887 1336984 525599 52717 553056 5491 1364448 1279838 
576658 856528 532158 1350961 525601 51960 91268 5491 870192 1279838 
372466 130383 518374 437721 72827 572077 475983 517941 80356 205165 
