321.0 358.0 0.7944745962195747 
306.0 338.0 0.850532339658467 
313.0 349.0 0.8140931759387301 
317.0 351.0 0.800254367829576 
310.0 343.0 0.8144905422361041 
315.0 350.0 0.8035046331064937 
327.0 363.0 0.7926482207829871 
307.0 342.0 0.8336590987438116 
312.0 350.0 0.8078939739213558 
305.0 340.0 0.8637700698567569 
307.0 344.0 0.8248817176286098 
310.0 343.0 0.8144905422361041 
305.0 342.0 0.8594373807875851 
305.0 340.0 0.8637700698567569 
305.0 340.0 0.8637700698567569 
327.0 363.0 0.7926482207829871 
333.0 367.0 0.7919955204700415 
305.0 340.0 0.8637700698567569 
