1137527 1263742 1322710 352740 1392799 1347208 601447 1222731 286396 196129 
1137527 1263742 1322710 352740 1392799 1347208 601447 1222731 286396 196129 
384755 61374 1304137 1347618 270399 675576 1279760 1237905 27700 651439 
1128360 1266765 1295798 251432 1405028 1347208 601447 575585 1377365 321036 
27777 740045 1295798 410335 1405028 1347208 601447 1307046 1363244 320322 
1087375 1262494 1299968 352740 1379672 1347208 601447 1223070 284431 323995 
1137526 744346 1295800 263873 330529 1347208 601447 592959 282494 321174 
20375 1262494 1295940 353447 1398195 1347208 601447 1222731 1369185 187542 
1137524 1262494 1295813 352740 1391663 1347208 601447 584227 1350998 196192 
1137315 746779 1296177 407797 358848 1347208 601447 594039 1363244 291471 
27777 740045 1295798 410335 1405028 1347208 601447 1307046 1363244 320322 
383560 1247655 1299553 1347048 370320 1347208 601447 528863 1355811 332749 
384755 61374 1304137 1314509 270399 675580 1279760 176526 510360 634614 
1137741 1262494 1300030 349378 1393125 1347208 601447 1222731 286396 196129 
