115771 669262 1375097 62769 586426 790753 1343685 90126 806948 880905 
108237 606724 437416 299092 698721 815900 716752 94619 810706 79410 
115771 669262 1375097 62769 586426 790753 1343685 90126 806948 880905 
115771 669262 1375097 62769 586426 790753 1343685 90126 806948 880905 
172291 145021 208196 854854 629742 221512 610112 1281143 627192 25689 
161448 1193120 566390 843773 629742 221512 682012 98087 630874 25689 
1310827 94290 201880 853750 629742 221512 1312737 1280185 627000 25689 
171429 143136 566726 845342 629742 221512 682521 1280871 630874 25689 
115771 670022 1375097 62769 589227 790753 679124 90126 37027 358433 
83962 848855 457529 1145517 769065 1010870 1354709 94619 814188 395434 
171429 143136 566726 845342 629742 221512 682521 1280871 630874 25689 
80683 605706 437416 1145517 703931 941607 1354709 94619 810709 1065831 
171429 143136 566726 845342 629742 221512 682521 1280871 630874 25689 
108237 606763 437416 299092 698711 957383 1371070 94619 810634 79410 
758345 1194802 360062 736864 785989 890679 1353609 795977 762816 256251 
218924 143154 550814 845388 629742 221512 1343204 1280871 630870 25689 
893479 603632 561043 1156042 763425 863405 1354709 94619 131240 1067282 
758345 1194802 360062 736864 785989 890679 1353609 795977 762816 256251 
758345 1194802 360062 736864 785989 890679 1353609 795977 762816 256251 
80683 759759 437416 299890 698987 816263 716752 94619 810709 79410 
758345 1194802 360062 736864 785989 890679 1353609 795977 762816 256251 
80683 759759 437416 299890 698987 816263 716752 94619 810709 79410 
182874 603545 1298084 1145570 763453 932608 1327077 94619 812396 1044258 
80683 759759 437416 299890 698987 816263 716752 94619 810709 79410 
171429 143136 550814 845342 629742 221512 682521 1280871 630874 25689 
80683 759759 437416 299890 698987 816263 716752 94619 810709 79410 
171429 143136 550814 845342 629742 221512 682521 1280871 630874 25689 
80683 759759 437416 299890 698987 816263 716752 94619 810709 79410 
171429 143136 550814 845342 629742 221512 682521 1280871 630874 25689 
171429 143136 550814 845342 629742 221512 682521 1280871 630874 25689 
890685 602709 437416 299890 761638 816263 720845 94619 810709 40292 
893479 603632 559555 1156042 763425 863405 1354709 94619 131240 1067282 
177417 140878 439542 62769 589227 188071 68819 777420 56049 358433 
215160 94290 201880 853750 629742 221512 1372442 1281143 626987 25689 
171429 145016 543729 855250 629742 221512 678891 1280871 626876 25689 
215160 144984 203231 855246 629742 221512 610112 1281143 626987 25689 
77898 605706 438020 1145570 665557 258461 1354709 94619 810709 1067272 
758345 1194802 364018 736864 769024 890679 1353537 795977 806152 1243821 
215160 144984 203231 855246 629742 221512 610112 1281143 626987 25689 
215160 144984 203231 855246 629742 221512 610112 1281143 626987 25689 
171429 609276 209076 855244 513115 221512 679720 1281143 656111 1097886 
215160 144984 203231 855246 629742 221512 610112 1281143 626987 25689 
171126 143136 552560 845342 629742 221512 682521 1283208 630874 25689 
77898 605706 438199 1145570 670315 292808 1354709 94619 812416 1067301 
893479 614536 434445 1125904 759802 863405 712693 94619 131240 1067282 
215160 144965 203231 855246 629742 221512 610112 1281143 626983 25689 
215160 144984 203231 855246 629742 221512 609755 1281143 626987 25689 
171429 143136 550814 845342 629742 221512 682521 1280871 637743 25689 
218924 143136 550814 845388 629742 221512 1343204 1280871 630867 25689 
171429 1201425 437906 840271 629742 221512 1305906 1280871 630874 25689 
161770 1197928 566390 843773 629742 221512 682521 760305 630874 25689 
215160 144984 203231 855246 629742 221512 610116 1281143 626987 25689 
177417 140543 178956 62769 589227 188071 680871 445301 37005 358433 
177417 140543 178956 62769 589227 188071 680337 445301 37005 358433 
79067 759759 437416 862725 698987 816263 716752 94619 810709 79410 
177417 140543 178956 62769 589227 188071 680337 445301 37005 358433 
177417 140543 178956 62769 589227 188071 680337 445301 37005 358433 
215160 144984 203231 1146566 629742 221512 610116 1281143 626987 25689 
177417 140543 178956 62769 589227 188071 680337 445301 37005 358433 
213514 143516 566686 845342 629742 221512 682521 1280871 95754 25689 
80683 759759 459251 299890 698676 825939 1338514 94619 810709 79410 
215160 143103 226227 845337 629742 221512 613389 1281143 630984 25689 
893479 623846 224945 858505 763425 863435 1354709 94619 131240 1067282 
218892 143136 550814 853750 629742 221512 1343204 1280871 627663 25689 
893479 603632 564188 1156042 763425 863405 1359623 94619 131240 1067282 
893479 603632 564188 1156042 763425 863405 1359623 94619 131240 1067282 
77898 605706 438017 1145570 665557 235407 1354709 94619 810709 1067307 
77898 605706 438017 1145570 665557 235407 1354709 94619 810709 1067307 
115771 655942 1375097 62769 586426 790753 676432 86209 806948 880905 
173044 143136 566726 282506 629742 221512 682521 1280871 630874 25689 
964635 605706 433447 238176 786077 952123 1359667 94619 762818 198112 
214297 143098 545848 845733 629742 221512 682521 1280871 630668 25689 
82655 507406 1359422 49588 701385 889195 718168 94619 765160 82693 
964635 605706 433447 238176 786077 952123 1359667 94619 762818 198112 
77898 605706 438017 1145570 665557 245685 1354709 94619 810709 1067307 
737331 605706 437416 930174 769113 952266 1359587 94619 8736 1073576 
84503 776057 437416 857700 1127590 193419 1372588 94619 662991 79410 
171429 143136 567106 845342 629742 221512 682521 1280871 630874 23914 
171429 143136 209076 855244 513115 221512 679720 1281143 656139 420171 
108237 606724 437416 299092 698711 957383 716752 94619 810634 79410 
171429 143136 567106 845342 629742 221512 682521 1280871 630874 23914 
80683 848855 457529 1145517 769065 955540 1354709 94619 810709 1064697 
84551 794569 437416 287821 750206 193419 716762 94619 810709 79410 
802723 931112 1209893 1152324 740942 952947 701561 1009405 7724 675140 
758345 1194802 358577 736864 785989 881126 1353609 987084 762816 256251 
81359 603545 1352819 1145570 763453 932608 1328687 94619 812439 1044258 
80683 759759 437416 308293 698987 816263 716752 94619 810709 79410 
1305498 1037997 579330 846590 1123388 880993 1311324 1228363 767055 413054 
1305498 1040333 579330 45308 1123388 180281 1311355 1228363 737022 413054 
1305498 1040333 579330 45308 1123388 180281 1311355 1228363 737022 413054 
84551 775317 437416 287821 750206 193419 716762 94619 810709 79410 
