,,Hipervolume,epison,igd,
1,NSGA-III,1.00000000000000000000000000000000000000000000000000000,0.051298917604257705804560174556172569282352924346923828125 ,0,10
2,NSGA-III,1,0.051298917604257705804560174556172569282352924346923828125 ,0,
1,NSGA-III,0.77915556769160076999725106361438520252704620361328125,0.051502620262460475919485958229415700770914554595947265625 ,0.00781312917780234428288821391106466762721538543701171875,40
2,NSGA-III,1,0.051502620262460475919485958229415700770914554595947265625 ,0,
1,NSGA-III,0.5240196012564523473525102994224438584135831901274355191123756033191871672727302211569622159004211425781250,0.051917413165116499396134486232767812907695770263671875 ,0.044336118175593790258215420863052713684737682342529296875,50
2,NSGA-III,1,0.051917413165116499396134486232767812907695770263671875 ,0,
1,NSGA-III,0.86782223204338915234501428130897693336009979248046875,0.05136654969375141488452385374330333434045314788818359375 ,0.002757581283409906054704396893839657423086464405059814453125,60
2,NSGA-III,1,0.05136654969375141488452385374330333434045314788818359375 ,0,
1,NSGA-III,0.82297903913474024228946746006840839982032775878906250,0.0516397779494322251014892799503286369144916534423828125 ,0.002630483695058256909948823931699735112488269805908203125,120
2,NSGA-III,1,0.0516397779494322251014892799503286369144916534423828125 ,0,
1,NSGA-III,0.3829870501970236913008146845173626501943612596455396844020990787527125576161779463291168212890625,0.05212860351426869265356600635641370899975299835205078125 ,0.0785818986298611188434648511247360147535800933837890625,
1,IBEA,0,0.07018624063435964510748732436695718206465244293212890625 ,13.1760171245458774791359246592037379741668701171875,
1,MOMBI,0,0.06788442333021306451801279990831972099840641021728515625 ,10.5622490850057939582029575831256806850433349609375,
2,NSGA-III,1,0.05212860351426869265356600635641370899975299835205078125 ,0,
2,IBEA,0,0.07001400420140048430628354481086716987192630767822265625 ,1.4114985311429091296986371162347495555877685546875,
2,MOMBI,0.55889625230811872942780988479907923047190883174166079241094225865671418773672485258430242538452148437500,0.06788442333021306451801279990831972099840641021728515625 ,0.07709573525500822144262969004557817243039608001708984375,
"1"	"NSGA-III"	"0.635176151409721537637520708945742426690823087936957402487538255388133112688819892355240881443023681640625"	"0.0518475847365212627604336148579022847115993499755859375 "	"0.01065926111522611831328166687171687954105436801910400390625"
"1"	"IBEA"	"0"	"0.069504804685691590204754675141884945333003997802734375 "	"13.2005253014287635693335687392391264438629150390625"
"1"	"MOMBI"	"0"	"0.06819943394704734707101323465394671075046062469482421875 "	"10.746116775809678500763766351155936717987060546875"
"2"	"NSGA-III"	"1"	"0.0518475847365212627604336148579022847115993499755859375 "	"0"
"2"	"IBEA"	"0E-53"	"0.06884283908215142744335679481082479469478130340576171875 "	"1.1421871886556107522636693829554133117198944091796875"
"2"	"MOMBI"	"0.431473569903725617011006109680664607019056772038789192586847437947683570058643454103730618953704833984375"	"0.06819943394704734707101323465394671075046062469482421875 "	"0.06426645373988591758429578248978941701352596282958984375"
"1"	"NSGA-III"	"0.74283748680792294205588177646859548985958099365234375"	"0.0517780373078497724304014582230593077838420867919921875 "	"0.006104707680410713897811714190311249694786965847015380859375"
"1"	"IBEA"	"0"	"0.06884283908215142744335679481082479469478130340576171875 "	"11.899813205461878595770031097345054149627685546875"
"1"	"MOMBI"	"0"	"0.06819943394704734707101323465394671075046062469482421875 "	"11.2339303879907763672463261173106729984283447265625"
"2"	"NSGA-III"	"1"	"0.0517780373078497724304014582230593077838420867919921875 "	"0"
"2"	"IBEA"	"0E-53"	"0.06884283908215142744335679481082479469478130340576171875 "	"0.81180434902012788001002263627015054225921630859375"
"2"	"MOMBI"	"0.2184451376264724961454156450101069845397327059114253286293205139761974820089562854263931512832641601562500"	"0.06819943394704734707101323465394671075046062469482421875 "	"0.28676899292045632261505261340062133967876434326171875"
"1"	"NSGA-III"	"0.501436073829339913958409946424193769921905846328360620029951561817116445496367305167950689792633056640625"	"0.05212860351426869265356600635641370899975299835205078125 "	"0.024596764679914624729395455915437196381390094757080078125"
"1"	"IBEA"	"0"	"0.0677285461478596417794761919140000827610492706298828125 "	"12.2371027488135251104495182516984641551971435546875"
"1"	"MOMBI"	"0"	"0.068041381743977169538339921928127296268939971923828125 "	"10.8713400041061856171609179000370204448699951171875"
"2"	"NSGA-III"	"1"	"0.05212860351426869265356600635641370899975299835205078125 "	"0"
"2"	"IBEA"	"0E-53"	"0.0677285461478596417794761919140000827610492706298828125 "	"0.69430605929824451560961051654885523021221160888671875"
"2"	"MOMBI"	"0.28520319167752672340995125159519381629891332616728866208581270012822894699411335750482976436614990234375"	"0.068041381743977169538339921928127296268939971923828125 "	"0.18906962736967780625008117567631416022777557373046875"
"1"	"NSGA-III"	"1.00000000000000000000000000000000000000000000000000000"	"0.05083285677753489328889457965487963519990444183349609375 "	"0"
"1"	"IBEA"	"0"	"0.07035975447302918184266928847137023694813251495361328125 "	"13.1423996498610140548635172308422625064849853515625"
"1"	"MOMBI"	"0"	"0.06757373783994859162138624242288642562925815582275390625 "	"10.73724208758540754615751211531460285186767578125"
"2"	"NSGA-III"	"1"	"0.05083285677753489328889457965487963519990444183349609375 "	"0"
"2"	"IBEA"	"0E-53"	"0.07001400420140048430628354481086716987192630767822265625 "	"1.30120201444063621210034398245625197887420654296875"
"2"	"MOMBI"	"0.4235323455307610528283105443300919044072529610404376451322737136100105015401595665025524795055389404296875"	"0.06757373783994859162138624242288642562925815582275390625 "	"0.17301974627082816748924187777447514235973358154296875"
"3"	"NSGA-III"	"1"	"0.06509445549041194267747556523318053223192691802978515625 "	"0"
"3"	"IBEA"	"0"	"0.169030850945703303711553644461673684418201446533203125 "	"19.608501447312761456487351097166538238525390625"
